サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,,no,II_
4,B2,コシアブラ,0.5,0,2,1.5,,164,0
4,B2,コマユミ,0.5,0,0.5,0.5,,165,0
4,B2,ナナカマド,0,0.5,1,1,,166,0.5
4,B2,ハイイヌツゲ,0.5,0,0,,,167,0
4,B2,ヒメアオキ,3,1,1,0.5,,168,1
4,B2,ブナ,5,12,3,6,,169,5
4,B2,ミズキ,3,0,0,,,170,0
4,B2,メイゲツカエデ,0,15,7,6.5,,171,5
4,B2,ヤマウルシ,0,5,1,0.5,,172,4
4,B2,マユミ,5,0,0,,,173,0
4,B2,トチノキ,,,0.5,,,174,
4,B2,ホオノキ,,,3,1,,175,
4,B2,ヒメモチ,,,0.5,0.5,,176,
4,B2,サワダツ,,,0.5,,,177,
4,B2,イタヤカエデ,,,0.5,,,178,
4,C,シラネワラビ,5,10,7,8,,179,5
4,C,チゴユリ,1,1,0.5,0.5,,180,1
4,C,ナライシダ,0,5,2,,,181,4
4,C,ミヤマカンスゲ,0,5,15,8,,182,4
4,C,ヤマイヌワラビ,0,0.5,0,,,183,0.5
4,C,ヤマソテツ,4,3,10,2.5,,184,3
4,C,ユキザサ,0.5,0.5,0.5,0.5,,185,0.5
4,C,コカンスゲ,3,0,0,,,186,0
4,C,ヒメカンアオイ,,,1,0.5,,187,
4,C,ヒメモチ,,,0.5,0.5,,188,
4,S,チシマザサ,8,60,30,20,,189,8
5,B2,ウリハダカエデ,0,8,20,10,,194,4
5,B2,ウワミズザクラ,4,2,5,4,,203,2
5,B2,オオカメノキ,5,15,4,15,,204,5
5,B2,オオバクロモジ,5,5,2,6,,205,4
5,B2,コシアブラ,0,0.5,0.5,0.7,,206,0.5
5,B2,コマユミ,0,0.5,0.5,0.5,,207,0.5
5,B2,ツリバナ,0,1,0,,,208,1
5,B2,トチノキ,0,0.5,0.5,0.5,,209,0.5
5,B2,ノリウツギ,0,2,1,3,,210,2
5,B2,ハイイヌツゲ,1,0,0,,,211,0
5,B2,ヒメモチ,3,1,0.5,0.5,,212,1
5,B2,ブナ,6,30,20,6,,213,6
5,B2,ミズキ,4,0,0,,,214,0
5,B2,タニウツギ,,,3,,,215,
5,B2,サワダツ,,,0.5,,,216,
5,B2,メイゲツカエデ,,,0.5,1,,217,
5,B2,アオダモ,,,0.5,.,,218,
5,B2,イタヤカエデ,,,0.5,0.5,,219,
5,C,シラネワラビ,6,20,15,30,,220,6
5,C,チゴユリ,1,1,0.5,0.5,,221,1
5,C,ツルアリドオシ,2,3,0,0.5,,222,3
5,C,トチバニンジン,0,0.5,0,,,223,0.5
5,C,ヒメカンアオイ,4,0,0,,,224,0
5,C,マイヅルソウ,0,0.5,0,,,225,0.5
5,C,ミヤマウズラ,0,0.5,0,,,226,0.5
5,C,ミヤマカンスゲ,0,10,5,8,,227,5
5,C,ヤマソテツ,5,10,10,20,,228,5
5,C,ユキザサ,0.5,0.5,5,0.5,,229,0.5
5,C,シノブカグマ,,,0.5,,,230,
5,C,タニギキョウ,,,0.5,0.5,,231,
5,C,ヒロハユキザサ,,,0.5,,,232,
5,S,チシマザサ,7,35,10,7,,233,7
5,,ギンリョウソウ,,,,0.5,,,
5,,ヤマウルシ,,,,0.5,,,
5,,ツリバナ,,,,0.5,,,
5,,ミヤマイタチシダ,,,,0.5,,,
6,B2,アオダモ,0,0.5,1,,,237,0.5
6,B2,ウリハダカエデ,0.5,5,1,1,,242,4
