layer,sp,form,f1,f2,f3,f4,f5,F1,F2,F3,F4,F5,c1,c2,c3,c4,c5,di1,di2,di3,di4,di5,cal
C,シラネアオイ,h,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,-,Ⅰ,Ⅰ,Ⅰ,-,0,0.72,0.2,0.004,0,0,7.442084075352507,3.9223227027636804,0.554700196225229,0,0
C,シラネワラビ,f,1,0.9615384615384616,1,1,1,Ⅴ,Ⅴ,Ⅴ,Ⅴ,Ⅴ,5.36,16.52,20.9,22.44,16.88,73.2120208708925,126.03418339726483,144.5683229480096,149.79986648859204,129.9230541512937,1
C,ジュウモンジシダ,f,0,0.07692307692307693,0.07692307692307693,0,0.07692307692307693,-,Ⅰ,Ⅰ,-,Ⅰ,0,0.02,0.02,0,0.02,0,1.2403473458920846,1.2403473458920846,0,1.2403473458920846,0
C,スミレサイシン,h,0,0,0.07692307692307693,0.07692307692307693,0,-,-,Ⅰ,Ⅰ,-,0,0,0.004,0.004,0,0,0,0.554700196225229,0.554700196225229,0,0
C,タケシマラン,h,0,0.3076923076923077,0.34615384615384615,0.2692307692307692,0.23076923076923078,-,Ⅱ,Ⅱ,Ⅱ,Ⅱ,0,0.18,0.096,0.104,0.02,0,7.442084075352507,5.764613536983137,5.2915026221291805,2.1483446221182985,0
C,タチシオデ,h,0.19230769230769232,0.34615384615384615,0.19230769230769232,0.3076923076923077,0.19230769230769232,Ⅰ,Ⅱ,Ⅰ,Ⅱ,Ⅰ,0.08,0.16,0.036000000000000004,0.088,0.016,3.9223227027636804,7.442084075352507,2.631174057921087,5.203549084703926,1.7541160386140586,1
C,タニギキョウ,h,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.3076923076923077,Ⅰ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,0.14,0.16,0.084,0.072,0.032,4.6409548089225705,7.0164641544562345,4.402796314232057,4.076197322920544,3.1378581622109443,1
C,チゴユリ,h,0.5,0.5,0.5384615384615384,0.6153846153846154,0.5384615384615384,Ⅲ,Ⅲ,Ⅲ,Ⅳ,Ⅲ,0.62,0.84,0.34,0.48,0.096,17.60681686165901,20.493901531919192,13.530592118489238,17.186756976946388,7.189736274183336,1
C,ツクバネソウ,h,0.19230769230769232,0.19230769230769232,0.11538461538461539,0.15384615384615385,0.23076923076923078,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅱ,0.08,0.08,0.024,0.032,0.028,3.9223227027636804,3.9223227027636804,1.6641005886756872,2.218800784900916,2.54195563720897,1
C,ツルアリドオシ,h,0.6538461538461539,0.5769230769230769,0.5,0.5769230769230769,0.5,Ⅳ,Ⅲ,Ⅲ,Ⅲ,Ⅲ,0.78,1.72,0.332,0.456,0.944,22.583179581272425,31.500915737605023,12.884098726725126,16.219646206897455,21.725560982400427,1
