"","no","アイバソウ","マルバヤナギ","アライトツメクサ","イグサ","イタドリ","アイイタドリ","イヌガラシ","イヌコリヤナギ","イヌトウバナ","エゾノギシギシ","エゾノミツモトソウ","オオイタドリ","オオウシノケグサ","オオバコ","オオバヤナギ","オニウシノケグサ","オノエヤナギ","外来ミミナグサ","カノコソウ","カモガヤ","キオン","キバナカワラマツバ","クサイ","ヤマクルマバナ","ケキツネノボタン","コウライシバ","コガネスゲ","コシノネズミガヤ","コツブアメリカヤガミスゲ","コナスビ","ゴマナ","ササガヤ","シロツメクサ","スイバ","スカシタゴボウ","スギナ","ススキ","スズメノカタビラ","セイヨウウツボグサ.大.白花.","セイヨウウツボグサ.小.白花.","セイヨウウツボグサ.大.紫花.","セイヨウウツボグサ","セイヨウタンポポ","ゼニゴケ","タチオランダゲンゲ","タニウツギ","タニソバ","タヌキラン","ツメクサ","ツボスミレ","Juncus.compressus","ドロノキ","ナガハグサ","ニワゼキショウ","Poa.sp..ヌマイチゴツナギ.","ネジバナ","ノアザミ","ノコンギク","ノボロギク","ノミノフスマ","バッコヤナギ","バッコオノエヤナギ","ハルジオン","ハンゴンソウ","ヒメジョオン","ヒメムカシヨモギ","ヒョウタンゴケ","フキ","フランスギク","ホソイ","ホッスガヤ","ミスジナガハグサ","ミドリハコベ","ヤマアゼスゲ","ヤマホタルブクロ","ヨシ.","ヨモギ","雑種ヨモギ","Iris.ｓｐ.","ヌカボ","ミミナグサsp.","スイバ.タカネスイバ","エゾノタカネヤナギ","メノマンネングサ","ヨツバヒヨドリ","タチツボスミレ","ヒメヌカボ","セイヨウオダマキ","タガラシ","ヤマハギ","エゾコヌカグサ"
"天狗平休憩所跡地（範囲外）",22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"天狗平休憩所跡地（範囲内）",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"天狗平歩道起点",23,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"国見第1駐車場",24,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"国見第２駐車場",25,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"国見待避所",25.2,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"大谷待避所",26,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"室堂第2駐車場",28,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"室堂ロータリー",29,0,0,1,0,3,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"立山センター車道",30,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
