no,地点名,,種数,アイバソウ,マルバヤナギ,アライトツメクサ,イグサ,イタドリ,アイイタドリ,イヌガラシ,イヌコリヤナギ,イヌトウバナ,エゾノギシギシ,エゾノミツモトソウ,オオイタドリ,オオウシノケグサ,オオバコ,オオバヤナギ,オニウシノケグサ,オノエヤナギ,外来ミミナグサ,カノコソウ,カモガヤ,キオン,キバナカワラマツバ,クサイ,ヤマクルマバナ,ケキツネノボタン,コウライシバ,コガネスゲ,コシノネズミガヤ,コツブアメリカヤガミスゲ,コナスビ,ゴマナ,ササガヤ,シロツメクサ,スイバ,スカシタゴボウ,スギナ,ススキ,スズメノカタビラ,セイヨウウツボグサ（大・白花）,セイヨウウツボグサ（小・白花）,セイヨウウツボグサ（大・紫花）,セイヨウウツボグサ,セイヨウタンポポ,ゼニゴケ,タチオランダゲンゲ,タニウツギ,タニソバ,タヌキラン,ツメクサ,ツボスミレ,Juncus compressus,ドロノキ,ナガハグサ,ニワゼキショウ,Poa sp.（ヌマイチゴツナギ）,ネジバナ,ノアザミ,ノコンギク,ノボロギク,ノミノフスマ,バッコヤナギ,バッコオノエヤナギ,ハルジオン,ハンゴンソウ,ヒメジョオン,ヒメムカシヨモギ,ヒョウタンゴケ,フキ,フランスギク,ホソイ,ホッスガヤ,ミスジナガハグサ,ミドリハコベ,ヤマアゼスゲ,ヤマホタルブクロ,ヨシ？,ヨモギ,雑種ヨモギ,Iris ｓｐ.,ヌカボ,ミミナグサsp.,スイバ×タカネスイバ,エゾノタカネヤナギ,メノマンネングサ,ヨツバヒヨドリ,タチツボスミレ,ヒメヌカボ,セイヨウオダマキ,タガラシ,ヤマハギ,エゾコヌカグサ
,,H24,8,,,,,4,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,3,,,,,,,,,,,,,,
,,H27,10,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,
,,H30,8,,1,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,
,,R3,8,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,2,,,,,,,,,,,,,
,,R6,10,,,,,3,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,2,,,,,,,,,,,,,
31,立山センター周辺,H21,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,3,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,H24,9,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,2,,,,,,,,,,,,,,
,,H27,12,,,,,1,,,,,,,,,,,,,2,,,,,1,,,,,,,,1,,1,,,,,1,,,,0,,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,3,,,,,,2,,,,,,,,1,,,,,
,,H30,12,,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,1,,2,,,,,3,,,,0,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,1,,,,,
,,R3,13,,,1,,1,,,,,,,,2,1,,,,1,,,,,,,,,,,,,1,,3,,,,,4,,,,0,2,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,1,,,,,,,,,,,,,
,,R6,14,,,3,,1,,,,,,,,3,2,,,1,1,,,,,,,,,,,,,2,,3,,,,,3,,,,0,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,1,,,,,,,,,,,,,
32,室堂ターミナル園地,H21,6,,,,,3,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,8,,,,,3,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,3,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,H27,9,,,,,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,1,,,,,
,,H30,13,,,,,1,1,,,,1,,,2,1,,,,,,,,,,1,,,,,,,1,,,,,2,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,,,,,,,,1,,,,,
,,R3,10,,,,,1,,,,,1,,,2,,,,,,,,,,,1,,,,,,,1,,,,,2,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
,,R6,10,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,2,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,
33,室堂平広場遊歩道,H21,8,,,,,3,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,2,1,1,,,2,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,8,,,,,3,,,,,,,1,1,,,,1,,,,,,,,,,,,,,2,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,H27,8,,,,,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,1,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
,,H30,11,,,,,1,,,,,,,1,3,1,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,2,,,,,
,,R3,8,,,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,R6,10,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
34,室堂平広場遊歩道,H21,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,7,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
,,H27,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,
,,H30,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
,,R3,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,R6,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
35,供養塔広場,H21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H27,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,H30,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R3,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,R6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,みくりが池展望台,H21,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,3,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,H24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,H27,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
,,H30,4,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,R3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
37,みくりが池遊歩道,H21,5,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,3,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,7,,1,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H27,6,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H30,6,,1,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R3,8,,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,R6,8,,,,,1,,,,,,,,1,1,,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
38,地獄谷への遊歩道,H21,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,室堂山荘遊歩道,H21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,7,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H27,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
,,H30,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R3,6,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R6,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,室堂山荘遊歩道,H21,5,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,1,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,H24,6,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H27,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H30,3,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R3,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,R6,7,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
41,室堂山荘横,H21,4,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,4,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,H30,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R3,4,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R6,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
42,玉殿岩屋への道,H21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,エンマ台,H21,6,,,,,3,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,3,,,,0,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,5,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H27,5,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H30,6,,,,,2,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R3,6,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R6,6,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
44,みくりが池遊歩道,H21,9,,,,,2,,,,,,1,,2,1,,,3,2,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,H24,8,,,,,1,,,,,,,,2,,,,3,1,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,
,,H27,8,,,,,,,,,,,,,2,,,,3,1,,,,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,H30,8,,,,,2,,,,,,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,
,,R3,9,,,,,2,,,,,,,,2,1,,,1,,,,,,,,,,,,,,1,,,,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R6,6,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
45,ミドリガ池遊歩道,H21,8,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,2,,,,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,
,,H24,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,H27,8,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,,,,,,,2,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,H30,9,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R3,10,,,,,1,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R6,11,,,1,,1,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
46,ミドリガ池広場,H21,4,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H24,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H27,7,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,
,,H30,7,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,
,,R3,5,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,R6,5,,,,,,,,,,1,,1,,,,,1,,,,1,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,弥陀ヶ原ホテルと 休憩所の中間地点,H25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ガキの広場上部,H25,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H26,10,,,,,2,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,0,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
,,H27,10,,,,,3,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,0,,4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,H28,10,,,,,2,1,,,,,,1,,1,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
,,H29,9,,,,,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
,,H30,10,,,,,2,1,,,,,,1,,1,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,0,,2,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
,,R1,12,,,,,2,1,,,,,,1,,1,,,,,,,,,,,,,,,,,3,,,,,1,,1,,,,0,,2,,,,,,2,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,
,,R2,16,,,,,2,1,,,,2,,,,1,,,1,2,,,,,,,,,,,,,2,,1,,,1,,1,,,,0,,1,,1,,,,2,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,
,,R3,16,,,,,2,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,3,,1,,,1,,1,,1,,1,,1,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,
,,R4,18,,,,,2,1,,,,1,,,,1,,,1,1,,,,,,,,,,,,,3,,1,,,1,,1,,,,0,,,,1,,1,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,
,,R5,17,,,,,2,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,2,,1,,,1,1,1,,,,0,,,,1,,1,,1,,1,,,,,,,,,,1,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
