layer,sp,form,f1,f2,f3,f4,f5,F1,F2,F3,F4,F5,c1,c2,c3,c4,c5,di1,di2,di3,di4,di5,cal
B2,ヒメウスノキ,bs,0,0.3076923076923077,0.4230769230769231,0.4230769230769231,0.6538461538461539,-,Ⅱ,Ⅲ,Ⅲ,Ⅳ,0,0.14,0.428,0.14400000000000002,0.28,0,6.563301233138936,13.45648256703523,7.80532362705589,13.530592118489238,0
B2,ベニバナイチゴ,bs,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.15384615384615385,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.16,0.54,0.08,0.46,0.208,3.5082320772281173,9.114654303753001,2.4806946917841692,8.412444993533732,5.65685424949238,1
B2,ミネカエデ,bs,0.6538461538461539,0.7692307692307693,0.8846153846153846,0.8461538461538461,1,Ⅳ,Ⅳ,Ⅴ,Ⅴ,Ⅴ,2.62,6,3.36,2.376,1.616,41.38933344567079,67.93662204867576,54.5188746427115,44.83817055212599,40.19950248448356,1
B2,ミヤマハンノキ,bs,0.3076923076923077,0.46153846153846156,0.34615384615384615,0.3076923076923077,0.2692307692307692,Ⅱ,Ⅲ,Ⅱ,Ⅱ,Ⅱ,1.2,1.8,0.9,0.32,0.344,19.21537845661046,28.823067684915685,17.65045216243656,9.922778767136677,9.623688721866714,1
B2,ミヤマホツツジ,bs,0,0,0.07692307692307693,0,0,-,-,Ⅰ,-,-,0,0,0.02,0,0,0,0,1.2403473458920846,0,0,0
B2,ムラサキヤシオツツジ,bs,0,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.11538461538461539,-,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0,0.04,0.024,0.036,0.044,0,2.1483446221182985,1.6641005886756872,2.3533936216582085,2.253202848596432,0
C,アイイタドリ,h,0,0,0,0.07692307692307693,0,-,-,-,Ⅰ,-,0,0,0,0.004,0,0,0,0,0.554700196225229,0,0
C,アカショウマ,h,0,0,0.11538461538461539,0.23076923076923078,0,-,-,Ⅰ,Ⅱ,-,0,0,0.008,0.24,0,0,0,0.9607689228305228,7.442084075352507,0,0
C,アキカラマツ,h,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.07692307692307693,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.04,0.24,0.08,0.04,0.02,1.7541160386140586,5.262348115842174,3.038218101251,1.7541160386140586,1.2403473458920846,1
C,イグサ,h,0,0,0,0.07692307692307693,0,-,-,-,Ⅰ,-,0,0,0,0.004,0,0,0,0,0.554700196225229,0,0
C,イタドリ,h,0.15384615384615385,0.07692307692307693,0.11538461538461539,0.19230769230769232,0.19230769230769232,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.48,0.2,0.14,0.92,0.348,8.593378488473194,3.9223227027636804,4.019184762342501,13.301243435223524,8.18065259762795,1
C,イヌガンソク,f,0,0,0,0,0,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0
C,イヌワラビ,f,0,0.2692307692307692,0.11538461538461539,0.15384615384615385,0.07692307692307693,-,Ⅱ,Ⅰ,Ⅰ,Ⅰ,0,0.2,0.024,0.064,0.012,0,7.337993857053427,1.6641005886756872,3.1378581622109443,0.9607689228305228,0
C,イブキコゴメグサ,h,0.07692307692307693,0,0,0,0,Ⅰ,-,-,-,-,0.02,0,0,0,0,1.2403473458920846,0,0,0,0,0
C,イワオウギ,h,0.15384615384615385,0,0,0,0,Ⅰ,-,-,-,-,0.32,0,0,0,0,7.0164641544562345,0,0,0,0,0
C,イワカガミ,h,0.46153846153846156,0.46153846153846156,0.6538461538461539,0.5769230769230769,0.5384615384615384,Ⅲ,Ⅲ,Ⅳ,Ⅲ,Ⅲ,0.4,0.52,0.3,0.14,0.232,13.58732440973515,15.491933384829668,14.005493427717788,8.98717034272917,11.176899253508413,1
C,イワナシ,ds,0.34615384615384615,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.5,Ⅱ,Ⅱ,Ⅲ,Ⅲ,Ⅲ,0.22,0.2,0.192,0.076,0.12000000000000001,8.726617108241093,8.770580193070291,9.413574486632834,5.922577401513895,7.745966692414834,1
C,ウラジロタデ,h,0,0,0.07692307692307693,0,0,-,-,Ⅰ,-,-,0,0,0.004,0,0,0,0,0.554700196225229,0,0,0
C,エンレイソウ,h,0.38461538461538464,0.8076923076923077,0.6923076923076923,0.5,0.7692307692307693,Ⅱ,Ⅴ,Ⅳ,Ⅲ,Ⅳ,0.18,0.4,0.24,0.216,0.168,8.320502943378438,17.97434068545834,12.89006773270979,10.392304845413262,11.367971201176102,1
C,オオイタドリ,h,0.19230769230769232,0.19230769230769232,0.23076923076923078,0.23076923076923078,0.23076923076923078,Ⅰ,Ⅰ,Ⅱ,Ⅱ,Ⅱ,0.8,3.4,2.36,3.72,3.16,12.403473458920846,25.570415597837936,23.336996049521556,29.299514304191778,27.004273166126307,1
C,オオハナウド,h,0,0,0.07692307692307693,0.07692307692307693,0.19230769230769232,-,-,Ⅰ,Ⅰ,Ⅰ,0,0,0.12,0.04,0.22,0,0,3.038218101251,1.7541160386140586,6.504436355879909,0
C,オオバコ,h,0,0,0.07692307692307693,0,0,-,-,Ⅰ,-,-,0,0,0.004,0,0,0,0,0.554700196225229,0,0,0
C,オオバショリマ,f,0,0.34615384615384615,0.4230769230769231,0.5,0.8461538461538461,-,Ⅱ,Ⅲ,Ⅲ,Ⅴ,0,0.44,0.268,0.2,0.2848,0,12.341300268111633,10.648221231013908,10,15.523679183254703,0
C,オオバタケシマラン,h,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.19230769230769232,0.2692307692307692,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅱ,0.06,0.04,0.02,0.064,0.048,2.631174057921087,2.1483446221182985,1.2403473458920846,3.5082320772281173,3.594868137091668,1
C,オオバノヨツバムグラ,h,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.19230769230769232,0.19230769230769232,Ⅰ,Ⅱ,Ⅱ,Ⅰ,Ⅰ,0.1,0.26,0.02,0.032,0.024,3.9223227027636804,8.94427190999916,2.1483446221182985,2.4806946917841692,2.1483446221182985,1
C,オシダ,f,0.07692307692307693,0,0.11538461538461539,0.07692307692307693,0.07692307692307693,Ⅰ,-,Ⅰ,Ⅰ,Ⅰ,0.02,0,0.04,0.04,0.004,1.2403473458920846,0,2.1483446221182985,1.7541160386140586,0.554700196225229,0
C,オニシモツケ,h,0,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.15384615384615385,-,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0,0.6,0.12,0.24,0.26,0,8.320502943378438,3.038218101251,5.262348115842174,6.324555320336758,0
C,カニコウモリ,h,0.07692307692307693,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.07692307692307693,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.02,0.06,0.048,0.032,0.008,1.2403473458920846,2.631174057921087,2.71746488194703,1.9215378456610457,0.7844645405527361,1
C,キオン,h,0.07692307692307693,0,0,0,0.07692307692307693,Ⅰ,-,-,-,Ⅰ,0.02,0,0,0,0.004,1.2403473458920846,0,0,0,0.554700196225229,0
C,キソチドリ,h,0.11538461538461539,0,0,0,0,Ⅰ,-,-,-,-,0.04,0,0,0,0,2.1483446221182985,0,0,0,0,0
C,キヌガサソウ,h,0.11538461538461539,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.1,0.12,0.06,0.048,0.012,3.3968311024337874,4.296689244236597,3.038218101251,2.71746488194703,0.9607689228305228,1
C,クロトウヒレン,h,0,0,0,0.07692307692307693,0.07692307692307693,-,-,-,Ⅰ,Ⅰ,0,0,0,0.04,0.02,0,0,0,1.7541160386140586,1.2403473458920846,0
C,コウゾリナ,h,0.11538461538461539,0.07692307692307693,0,0,0,Ⅰ,Ⅰ,-,-,-,0.18,0.02,0,0,0,4.557327151876499,1.2403473458920846,0,0,0,0
C,コガネイチゴ,ds,0,0,0,0,0.15384615384615385,-,-,-,-,Ⅰ,0,0,0,0,0.012,0,0,0,0,1.358732440973515,0
C,コバイケイソウ,h,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.11538461538461539,0.15384615384615385,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.02,0.08,0.02,0.008,0.02,1.2403473458920846,3.5082320772281173,1.2403473458920846,0.9607689228305228,1.7541160386140586,1
C,コミヤマカタバミ,h,0.38461538461538464,0.5,0.5,0.5384615384615384,0.5384615384615384,Ⅱ,Ⅲ,Ⅲ,Ⅲ,Ⅲ,0.9,1.86,1.264,1.36,1.3639999999999999,18.605210188381267,30.49590136395381,25.139610179953067,27.061184236978477,27.10095087744226,1
C,コメススキ,h,0,0,0,0.11538461538461539,0,-,-,-,Ⅰ,-,0,0,0,0.008,0,0,0,0,0.9607689228305228,0,0
